theta_deg	R_normalised
0.69125	0.0106171
0.69275	0.00933597
0.69425	0.00804825
0.69575	0.00694778
0.69725	0.00587358
0.69875	0.00472876
0.70025	0.00436248
0.70175	0.00373997
0.70325	0.00390094
0.70475	0.00413581
0.70625	0.00503262
0.70775	0.00593764
0.70925	0.00712352
0.71075	0.00851308
0.71225	0.0100784
0.71375	0.0115747
0.71525	0.013071
0.71675	0.0145739
0.71825	0.0157894
0.71975	0.0164513
0.72125	0.0166911
0.72275	0.0167781
0.72425	0.0159963
0.72575	0.015428
0.72725	0.0145279
0.72875	0.0129133
0.73025	0.0116798
0.73175	0.00987143
0.73325	0.0085837
0.73475	0.00695106
0.73625	0.00588836
0.73775	0.00526257
0.73925	0.00485195
0.74075	0.00498827
0.74225	0.00572411
0.74375	0.00698227
0.74525	0.00876274
0.74675	0.0107847
0.74825	0.0129429
0.74975	0.0153508
0.75125	0.0179854
0.75275	0.0205986
0.75425	0.0224119
0.75575	0.0245406
0.75725	0.0258102
0.75875	0.0270076
0.76025	0.0272261
0.76175	0.0264705
0.76325	0.0254998
0.76475	0.0240183
0.76625	0.0217566
0.76775	0.0194373
0.76925	0.0171428
0.77075	0.0145378
0.77225	0.0124469
0.77375	0.0106122
0.77525	0.00933761
0.77675	0.00901733
0.77825	0.0092867
0.77975	0.0112725
0.78125	0.0136065
0.78275	0.0179722
0.78425	0.0223659
0.78575	0.0283068
0.78725	0.034095
0.78875	0.0400442
0.79025	0.0460951
0.79175	0.0519293
0.79325	0.0572165
0.79475	0.0618007
0.79625	0.0653863
0.79775	0.0666789
0.79925	0.067469
0.80075	0.0662223
0.80225	0.0629488
0.80375	0.0593583
0.80525	0.0541582
0.80675	0.0486804
0.80825	0.0424373
0.80975	0.037403
0.81125	0.0340047
0.81275	0.0326825
0.81425	0.0337271
0.81575	0.0389108
0.81725	0.0480858
0.81875	0.0627484
0.82025	0.0829298
0.82175	0.1083
0.82325	0.138911
0.82475	0.172085
0.82625	0.208525
0.82775	0.246919
0.82925	0.285023
0.83075	0.326095
0.83225	0.365532
0.83375	0.400461
0.83525	0.436215
0.83675	0.464698
0.83825	0.492806
0.83975	0.513303
0.84125	0.531651
0.84275	0.543781
0.84425	0.553731
0.84575	0.562169
0.84725	0.568336
0.84875	0.573513
0.85025	0.572651
0.85175	0.573167
0.85325	0.567014
0.85475	0.558954
0.85625	0.54881
0.85775	0.535678
0.85925	0.524677
0.86075	0.511778
0.86225	0.497717
0.86375	0.477381
0.86525	0.4581
0.86675	0.437698
0.86825	0.415291
0.86975	0.392694
0.87125	0.36795
0.87275	0.344496
0.87425	0.320432
0.87575	0.294651
0.87725	0.267713
0.87875	0.240679
0.88025	0.215358
0.88175	0.18746
0.88325	0.163253
0.88475	0.139062
0.88625	0.117927
0.88775	0.0984088
0.88925	0.080246
0.89075	0.0651005
0.89225	0.0532827
0.89375	0.0424521
0.89525	0.0354649
0.89675	0.0302302
0.89825	0.0276515
0.89975	0.0258332
0.90125	0.0258004
0.90275	0.0268499
0.90425	0.0279439
0.90575	0.0292841
0.90725	0.0311057
0.90875	0.0326003
0.91025	0.033305
0.91175	0.0337107
0.91325	0.0334659
0.91475	0.0328188
0.91625	0.0309365
0.91775	0.0291462
0.91925	0.0270733
0.92075	0.0240774
0.92225	0.0216104
0.92375	0.0190563
0.92525	0.016581
0.92675	0.0140483
0.92825	0.0120658
0.92975	0.0101966
0.93125	0.00876602
0.93275	0.00819115
0.93425	0.00730091
0.93575	0.0071383
0.93725	0.00764584
0.93875	0.00819443
0.94025	0.00849665
0.94175	0.00936718
0.94325	0.0100817
0.94475	0.0106319
0.94625	0.0113661
0.94775	0.0118539
0.94925	0.0121545
0.95075	0.0122563
0.95225	0.0122514
0.95375	0.012056
0.95525	0.011077
0.95675	0.0104217
0.95825	0.00950843
0.95975	0.00864612
0.96125	0.00778217
0.96275	0.00695599
0.96425	0.00591957
0.96575	0.00506054
0.96725	0.00437726
0.96875	0.0038763
0.97025	0.0036792
0.97175	0.00342133
0.97325	0.00318645
0.97475	0.00333592
0.97625	0.00346568
0.97775	0.00376133
0.97925	0.00408161
0.98075	0.00450702
0.98225	0.00462692
0.98375	0.00537919
0.98525	0.00535126
0.98675	0.00556479
0.98825	0.00583416
0.98975	0.00601319
0.99125	0.00588508
0.99275	0.00549416
0.99425	0.00535126
0.99575	0.00515581
0.99725	0.00462692
0.99875	0.00418673
1.00025	0.00373012
1.00175	0.00328007
1.00325	0.0028251
1.00475	0.0026165
1.00625	0.00234056
1.00775	0.00198907
1.00925	0.0017082
1.01075	0.00181825
1.01225	0.00175912
1.01375	0.00184453
1.01525	0.00206791
1.01675	0.00207119
1.01825	0.00230278
1.01975	0.00251795
1.02125	0.00264771
1.02275	0.00287438
1.02425	0.00291544
1.02575	0.00302713
1.02725	0.00306326
1.02875	0.00311746
1.03025	0.00306326
1.03175	0.00302877
1.03325	0.00272162
1.03475	0.00264443
1.03625	0.00237506
1.03775	0.00223216
1.03925	0.00193815
1.04075	0.00171148
1.04225	0.00155052
1.04375	0.00126801
1.04525	0.00121052
1.04675	0.00114154
1.04825	0.00104463
1.04975	0.00114975
1.05125	0.0011054
1.05275	0.00131071
1.05425	0.00123516
1.05575	0.00143226
1.05725	0.00160308
1.05875	0.00174598
1.06025	0.00181004
1.06175	0.00192501
1.06325	0.00188559
1.06475	0.00192172
1.06625	0.00194472
1.06775	0.00186752
1.06925	0.00190694
1.07075	0.00184617
1.07225	0.00169835
1.07375	0.00169999
1.07525	0.00150289
1.07675	0.00131236
1.07825	0.00125323
1.07975	0.00109226
1.08125	0.000957577
1.08275	0.000888593
1.08425	0.000836033
